2025-12-21 13:04:51 - root - INFO - Запуск Multi-IB Code Search...
2025-12-21 13:04:51 - app.context - INFO - Инициализация ИБ: hrm31...
2025-12-21 13:05:08 - pymorphy3.opencorpora_dict.wrapper - INFO - Loading dictionaries from C:\Users\rsyuzyov\AppData\Roaming\Python\Python312\site-packages\pymorphy3_dicts_ru\data
2025-12-21 13:05:08 - pymorphy3.opencorpora_dict.wrapper - INFO - format: 2.4, revision: 417150, updated: 2022-01-08T22:09:24.565962
2025-12-21 13:05:08 - app.context - INFO - ИБ hrm31 инициализирована
2025-12-21 13:05:08 - root - INFO - Сервер доступен на http://localhost:8000
2025-12-21 13:05:26 - ib.hrm31 - INFO - Обнаружены изменения, запуск индексации...
2025-12-21 13:05:39 - idx.code_hrm31 - INFO - [Incremental] Scanning 36505 files for changes...
2025-12-21 13:05:45 - idx.code_hrm31 - INFO - Scanned 21500/36505 files...
2025-12-21 13:05:48 - idx.code_hrm31 - INFO - Scanning done. Found: +36505 ~0 -0
2025-12-21 13:05:48 - idx.code_hrm31 - INFO - [Incremental] Starting indexing...
2025-12-21 13:08:09 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 2:42 | конец: 21:29:36
2025-12-21 13:08:14 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 2:47 | конец: 21:29:36
2025-12-21 13:08:19 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 2:52 | конец: 21:29:36
2025-12-21 13:08:24 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 2:57 | конец: 21:29:36
2025-12-21 13:08:29 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 3:02 | конец: 21:29:36
2025-12-21 13:08:34 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 3:07 | конец: 21:29:36
2025-12-21 13:08:39 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 3:12 | конец: 21:29:36
2025-12-21 13:08:44 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 3:17 | конец: 21:29:36
2025-12-21 13:08:49 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 3:22 | конец: 21:29:36
2025-12-21 13:08:54 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 3:27 | конец: 21:29:36
